"subj" "group" "tree" "cat" "rt"
0 0 0 0 787
0 0 0 1 825
0 0 0 0 531
0 0 0 0 569
0 0 0 0 730
0 0 0 0 478
0 0 0 0 519
0 0 0 0 538
0 0 0 0 659
0 0 0 0 682
0 0 0 1 1789
0 0 0 0 526
0 0 0 1 1165
0 0 0 0 549
0 0 0 0 775
0 0 0 0 435
0 0 0 0 691
0 0 0 1 736
0 0 0 0 573
0 0 0 0 445
0 0 0 0 932
0 0 0 1 1046
0 0 0 0 566
0 0 0 0 770
0 0 0 0 679
0 0 0 0 669
0 0 0 0 547
0 0 0 0 497
0 0 0 0 482
0 0 0 0 546
0 0 1 2 569
0 0 1 3 820
0 0 1 3 883
0 0 1 3 996
0 0 1 3 667
0 0 1 3 941
0 0 1 2 554
0 0 1 3 822
0 0 1 2 818
0 0 1 3 830
0 0 1 3 857
0 0 1 3 706
0 0 1 3 888
0 0 1 3 707
0 0 1 3 889
0 0 1 2 875
0 0 1 3 1243
0 0 1 3 718
0 0 1 3 799
0 0 1 3 730
0 0 1 3 1157
0 0 1 3 1487
0 0 1 3 846
0 0 1 3 798
0 0 1 3 604
0 0 1 3 826
0 0 1 3 1283
0 0 1 3 700
0 0 1 3 791
0 0 1 3 813
1 0 0 0 645
1 0 0 0 562
1 0 0 0 587
1 0 0 1 882
1 0 0 0 587
1 0 0 1 844
1 0 0 0 893
1 0 0 0 564
1 0 0 0 482
1 0 0 1 1160
1 0 0 0 666
1 0 0 0 546
1 0 0 0 745
1 0 0 0 586
1 0 0 0 502
1 0 0 1 784
1 0 0 0 689
1 0 0 0 727
1 0 0 0 437
1 0 0 1 960
1 0 0 0 495
1 0 0 0 537
1 0 0 0 525
1 0 0 0 543
1 0 0 0 465
1 0 0 1 705
1 0 0 0 460
1 0 0 0 554
1 0 0 0 889
1 0 0 0 525
1 0 1 3 782
1 0 1 2 604
1 0 1 2 590
1 0 1 3 899
1 0 1 3 764
1 0 1 3 803
1 0 1 3 682
1 0 1 2 616
1 0 1 3 660
1 0 1 3 680
1 0 1 2 561
1 0 1 2 817
1 0 1 3 652
1 0 1 3 676
1 0 1 3 820
1 0 1 3 837
1 0 1 2 518
1 0 1 3 904
1 0 1 2 532
1 0 1 3 642
1 0 1 3 699
1 0 1 3 870
1 0 1 3 687
1 0 1 3 748
1 0 1 3 721
1 0 1 3 761
1 0 1 3 750
1 0 1 3 819
1 0 1 3 786
1 0 1 3 728
2 0 0 0 575
2 0 0 0 546
2 0 0 0 788
2 0 0 1 1159
2 0 0 1 727
2 0 0 0 566
2 0 0 0 590
2 0 0 0 848
2 0 0 0 578
2 0 0 0 678
2 0 0 0 710
2 0 0 0 588
2 0 0 0 589
2 0 0 0 746
2 0 0 0 970
2 0 0 0 511
2 0 0 0 696
2 0 0 0 628
2 0 0 1 676
2 0 0 0 983
2 0 0 0 779
2 0 0 0 772
2 0 0 1 547
2 0 0 1 591
2 0 0 0 1123
2 0 0 0 578
2 0 0 1 915
2 0 0 0 678
2 0 0 0 656
2 0 0 0 690
2 0 1 3 619
2 0 1 3 636
2 0 1 3 715
2 0 1 3 939
2 0 1 3 904
2 0 1 3 555
2 0 1 3 651
2 0 1 3 811
2 0 1 3 562
2 0 1 3 592
2 0 1 3 552
2 0 1 3 782
2 0 1 3 648
2 0 1 2 585
2 0 1 3 482
2 0 1 2 1180
2 0 1 3 495
2 0 1 3 597
2 0 1 3 704
2 0 1 3 887
2 0 1 3 540
2 0 1 3 792
2 0 1 3 478
2 0 1 3 712
2 0 1 2 894
2 0 1 3 563
2 0 1 3 630
2 0 1 3 541
2 0 1 3 567
2 0 1 3 746
3 0 0 0 722
3 0 0 1 415
3 0 0 0 859
3 0 0 0 823
3 0 0 0 618
3 0 0 0 684
3 0 0 0 635
3 0 0 1 435
3 0 0 0 690
3 0 0 0 725
3 0 0 0 817
3 0 0 1 761
3 0 0 0 675
3 0 0 0 653
3 0 0 0 773
3 0 0 0 695
3 0 0 0 697
3 0 0 0 682
3 0 0 0 838
3 0 0 0 716
3 0 0 0 723
3 0 0 1 848
3 0 0 0 771
3 0 0 0 759
3 0 0 0 733
3 0 0 0 688
3 0 0 0 638
3 0 0 0 641
3 0 0 1 780
3 0 0 0 809
3 0 1 3 601
3 0 1 3 341
3 0 1 3 530
3 0 1 2 895
3 0 1 3 712
3 0 1 2 793
3 0 1 3 363
3 0 1 3 508
3 0 1 3 380
3 0 1 3 636
3 0 1 3 315
3 0 1 3 429
3 0 1 3 618
3 0 1 3 274
3 0 1 3 552
3 0 1 3 395
3 0 1 3 282
3 0 1 3 301
3 0 1 3 308
3 0 1 2 1232
3 0 1 3 473
3 0 1 3 512
3 0 1 3 549
3 0 1 3 433
3 0 1 3 642
3 0 1 3 296
3 0 1 3 577
3 0 1 3 627
3 0 1 2 881
3 0 1 3 385
4 0 0 0 554
4 0 0 1 651
4 0 0 0 435
4 0 0 0 551
4 0 0 0 642
4 0 0 0 598
4 0 0 0 511
4 0 0 0 598
4 0 0 0 619
4 0 0 0 507
4 0 0 0 582
4 0 0 0 561
4 0 0 0 550
4 0 0 0 675
4 0 0 1 683
4 0 0 0 670
4 0 0 1 799
4 0 0 0 684
4 0 0 0 515
4 0 0 0 546
4 0 0 0 555
4 0 0 0 510
4 0 0 0 557
4 0 0 0 804
4 0 0 0 566
4 0 0 0 1061
4 0 0 0 479
4 0 0 0 456
4 0 0 0 533
4 0 0 0 574
4 0 1 3 751
4 0 1 3 828
4 0 1 2 708
4 0 1 3 589
4 0 1 3 852
4 0 1 3 617
4 0 1 3 906
4 0 1 3 649
4 0 1 3 887
4 0 1 2 677
4 0 1 2 583
4 0 1 3 752
4 0 1 2 593
4 0 1 3 977
4 0 1 3 605
4 0 1 3 536
4 0 1 2 680
4 0 1 3 945
4 0 1 3 571
4 0 1 3 866
4 0 1 3 697
4 0 1 3 679
4 0 1 2 645
4 0 1 3 621
4 0 1 3 568
4 0 1 3 626
4 0 1 3 593
4 0 1 3 820
4 0 1 3 746
4 0 1 3 555
5 0 0 0 694
5 0 0 0 1066
5 0 0 1 852
5 0 0 0 596
5 0 0 1 758
5 0 0 0 818
5 0 0 0 613
5 0 0 1 1241
5 0 0 0 613
5 0 0 0 600
5 0 0 0 993
5 0 0 0 624
5 0 0 1 798
5 0 0 0 635
5 0 0 1 917
5 0 0 0 731
5 0 0 0 617
5 0 0 0 612
5 0 0 0 691
5 0 0 0 555
5 0 0 0 624
5 0 0 0 570
5 0 0 1 808
5 0 0 0 657
5 0 0 1 1425
5 0 0 1 949
5 0 0 0 687
5 0 0 0 581
5 0 0 0 777
5 0 0 0 620
5 0 1 3 724
5 0 1 3 1166
5 0 1 3 593
5 0 1 3 820
5 0 1 3 761
5 0 1 3 1151
5 0 1 2 747
5 0 1 3 771
5 0 1 3 738
5 0 1 3 889
5 0 1 3 803
5 0 1 3 1015
5 0 1 3 620
5 0 1 3 811
5 0 1 2 926
5 0 1 3 615
5 0 1 3 735
5 0 1 3 680
5 0 1 3 632
5 0 1 3 869
5 0 1 3 547
5 0 1 3 777
5 0 1 3 775
5 0 1 3 651
5 0 1 3 895
5 0 1 3 972
5 0 1 3 732
5 0 1 3 711
5 0 1 3 632
5 0 1 3 810
6 0 0 0 647
6 0 0 1 1409
6 0 0 0 707
6 0 0 1 884
6 0 0 0 582
6 0 0 0 747
6 0 0 1 943
6 0 0 0 510
6 0 0 0 509
6 0 0 0 635
6 0 0 1 912
6 0 0 0 591
6 0 0 1 1054
6 0 0 0 748
6 0 0 0 804
6 0 0 1 989
6 0 0 0 488
6 0 0 0 408
6 0 0 0 652
6 0 0 0 776
6 0 0 0 366
6 0 0 0 769
6 0 0 0 886
6 0 0 0 795
6 0 0 0 445
6 0 0 0 464
6 0 0 1 896
6 0 0 1 795
6 0 0 0 676
6 0 0 0 458
6 0 1 2 575
6 0 1 3 1019
6 0 1 3 707
6 0 1 2 576
6 0 1 3 953
6 0 1 3 760
6 0 1 2 1050
6 0 1 3 1650
6 0 1 3 996
6 0 1 3 1234
6 0 1 3 838
6 0 1 2 866
6 0 1 2 874
6 0 1 3 857
6 0 1 2 692
6 0 1 3 867
6 0 1 3 985
6 0 1 2 521
6 0 1 3 983
6 0 1 3 1031
6 0 1 3 885
6 0 1 3 761
6 0 1 2 871
6 0 1 2 546
6 0 1 3 722
6 0 1 3 1021
6 0 1 3 775
6 0 1 3 879
6 0 1 2 580
6 0 1 3 995
7 0 0 0 597
7 0 0 0 490
7 0 0 0 550
7 0 0 0 599
7 0 0 0 581
7 0 0 0 480
7 0 0 0 467
7 0 0 0 760
7 0 0 0 509
7 0 0 1 685
7 0 0 0 459
7 0 0 1 922
7 0 0 0 506
7 0 0 0 493
7 0 0 0 482
7 0 0 0 479
7 0 0 0 455
7 0 0 0 494
7 0 0 0 610
7 0 0 0 615
7 0 0 0 454
7 0 0 0 522
7 0 0 0 582
7 0 0 1 995
7 0 0 0 921
7 0 0 0 600
7 0 0 1 649
7 0 0 0 490
7 0 0 1 649
7 0 0 0 460
7 0 1 2 626
7 0 1 3 832
7 0 1 3 717
7 0 1 3 1180
7 0 1 3 674
7 0 1 3 695
7 0 1 3 809
7 0 1 3 574
7 0 1 2 901
7 0 1 3 703
7 0 1 3 645
7 0 1 2 620
7 0 1 2 431
7 0 1 2 461
7 0 1 3 547
7 0 1 2 799
7 0 1 3 663
7 0 1 3 585
7 0 1 2 664
7 0 1 3 645
7 0 1 2 695
7 0 1 3 816
7 0 1 3 855
7 0 1 2 679
7 0 1 3 977
7 0 1 2 710
7 0 1 3 856
7 0 1 3 1301
7 0 1 2 643
7 0 1 2 469
8 0 0 0 789
8 0 0 1 742
8 0 0 0 594
8 0 0 0 388
8 0 0 1 830
8 0 0 1 1079
8 0 0 0 612
8 0 0 0 407
8 0 0 0 674
8 0 0 0 353
8 0 0 0 539
8 0 0 0 403
8 0 0 0 411
8 0 0 1 1339
8 0 0 0 336
8 0 0 0 481
8 0 0 0 376
8 0 0 0 657
8 0 0 0 694
8 0 0 1 877
8 0 0 0 541
8 0 0 0 339
8 0 0 1 782
8 0 0 0 1165
8 0 0 0 488
8 0 0 0 370
8 0 0 0 341
8 0 0 0 357
8 0 0 0 449
8 0 0 0 457
8 0 1 2 291
8 0 1 3 642
8 0 1 3 685
8 0 1 3 781
8 0 1 2 482
8 0 1 2 884
8 0 1 2 505
8 0 1 3 876
8 0 1 2 588
8 0 1 3 579
8 0 1 2 653
8 0 1 3 965
8 0 1 3 684
8 0 1 2 916
8 0 1 3 826
8 0 1 3 669
8 0 1 3 722
8 0 1 3 684
8 0 1 2 633
8 0 1 3 847
8 0 1 3 751
8 0 1 2 415
8 0 1 3 838
8 0 1 3 679
8 0 1 2 676
8 0 1 3 960
8 0 1 2 729
8 0 1 3 1069
8 0 1 3 830
8 0 1 3 737
9 0 0 0 803
9 0 0 1 988
9 0 0 1 852
9 0 0 0 530
9 0 0 0 605
9 0 0 1 1422
9 0 0 0 589
9 0 0 0 670
9 0 0 1 872
9 0 0 0 459
9 0 0 0 587
9 0 0 1 1004
9 0 0 1 757
9 0 0 0 1124
9 0 0 0 557
9 0 0 0 591
9 0 0 1 1033
9 0 0 1 867
9 0 0 1 879
9 0 0 0 562
9 0 0 1 801
9 0 0 0 536
9 0 0 0 576
9 0 0 0 637
9 0 0 0 671
9 0 0 0 534
9 0 0 1 631
9 0 0 0 755
9 0 0 0 651
9 0 0 0 592
9 0 1 2 859
9 0 1 3 639
9 0 1 3 789
9 0 1 3 737
9 0 1 2 665
9 0 1 3 885
9 0 1 2 733
9 0 1 3 612
9 0 1 3 887
9 0 1 2 907
9 0 1 2 666
9 0 1 3 1058
9 0 1 3 916
9 0 1 3 805
9 0 1 3 611
9 0 1 3 813
9 0 1 2 674
9 0 1 2 680
9 0 1 2 815
9 0 1 2 663
9 0 1 3 1373
9 0 1 3 1078
9 0 1 2 685
9 0 1 3 570
9 0 1 3 777
9 0 1 2 683
9 0 1 3 634
9 0 1 3 618
9 0 1 3 756
9 0 1 2 674
10 0 0 1 882
10 0 0 0 513
10 0 0 1 805
10 0 0 0 476
10 0 0 0 423
10 0 0 0 676
10 0 0 0 432
10 0 0 0 397
10 0 0 0 657
10 0 0 0 647
10 0 0 0 558
10 0 0 0 632
10 0 0 0 533
10 0 0 0 519
10 0 0 0 517
10 0 0 0 400
10 0 0 0 577
10 0 0 1 781
10 0 0 0 621
10 0 0 0 620
10 0 0 0 445
10 0 0 0 530
10 0 0 0 585
10 0 0 0 614
10 0 0 0 433
10 0 0 1 886
10 0 0 1 1557
10 0 0 1 791
10 0 0 1 763
10 0 0 0 505
10 0 1 3 871
10 0 1 3 1701
10 0 1 2 456
10 0 1 2 484
10 0 1 3 1228
10 0 1 3 696
10 0 1 3 790
10 0 1 3 1435
10 0 1 3 717
10 0 1 2 559
10 0 1 3 1095
10 0 1 2 501
10 0 1 2 478
10 0 1 3 763
10 0 1 2 1289
10 0 1 3 828
10 0 1 3 840
10 0 1 3 627
10 0 1 3 766
10 0 1 3 841
10 0 1 2 702
10 0 1 2 644
10 0 1 3 674
10 0 1 3 936
10 0 1 3 1158
10 0 1 2 1130
10 0 1 3 739
10 0 1 3 781
10 0 1 3 811
10 0 1 3 665
11 0 0 0 658
11 0 0 0 519
11 0 0 0 557
11 0 0 0 527
11 0 0 0 563
11 0 0 0 916
11 0 0 0 613
11 0 0 0 653
11 0 0 0 548
11 0 0 0 638
11 0 0 1 952
11 0 0 1 768
11 0 0 0 583
11 0 0 0 620
11 0 0 0 710
11 0 0 0 942
11 0 0 0 540
11 0 0 0 437
11 0 0 0 473
11 0 0 0 574
11 0 0 0 609
11 0 0 0 535
11 0 0 0 535
11 0 0 0 568
11 0 0 0 512
11 0 0 1 767
11 0 0 0 549
11 0 0 1 1099
11 0 0 0 478
11 0 0 0 547
11 0 1 2 760
11 0 1 3 869
11 0 1 2 929
11 0 1 2 859
11 0 1 3 595
11 0 1 2 576
11 0 1 3 894
11 0 1 3 936
11 0 1 2 811
11 0 1 3 743
11 0 1 3 1083
11 0 1 2 801
11 0 1 3 973
11 0 1 3 913
11 0 1 3 829
11 0 1 3 657
11 0 1 2 974
11 0 1 3 846
11 0 1 3 947
11 0 1 3 621
11 0 1 2 825
11 0 1 3 828
11 0 1 2 669
11 0 1 3 807
11 0 1 3 746
11 0 1 3 868
11 0 1 3 754
11 0 1 3 715
11 0 1 3 688
11 0 1 3 762
12 0 0 0 607
12 0 0 0 767
12 0 0 0 658
12 0 0 1 517
12 0 0 0 863
12 0 0 0 688
12 0 0 1 751
12 0 0 1 828
12 0 0 0 948
12 0 0 0 573
12 0 0 1 546
